"target","indicator","cond1","taxon","cond2","geo","cond3","time"
"species","distr","at",NA,NA,"site","at","time"
"species","abund","at",NA,NA,"site","at","time"
"species","distr","across",NA,NA,"site","at","time"
"species","abund","across",NA,NA,"site","at","time"
"species","distr","at",NA,NA,"site_type","at","time"
"species","abund","at",NA,NA,"site_type","at","time"
"species","distr","across",NA,NA,"site_type","at","time"
"species","abund","across",NA,NA,"site_type","at","time"
"species","distr","at",NA,NA,"global","at","time"
"species","abund","at",NA,NA,"global","at","time"
"species","distr","at",NA,NA,"site","across","time"
"species","abund","at",NA,NA,"site","across","time"
"species","distr","at",NA,NA,"site_type","across","time"
"species","abund","at",NA,NA,"site_type","across","time"
"species","distr","at",NA,NA,"global","across","time"
"species","abund","at",NA,NA,"global","across","time"
"sp_type","distr","across","species","at","site","at","time"
"sp_type","abund","across","species","at","site","at","time"
"sp_type","distr","at","sp_type","at","site","at","time"
"sp_type","abund","at","sp_type","at","site","at","time"
"sp_type","div","at","sp_type","at","site","at","time"
"sp_type","distr","at","sp_type","across","site","at","time"
"sp_type","abund","at","sp_type","across","site","at","time"
"sp_type","div","at","sp_type","across","site","at","time"
"sp_type","distr","across","species","at","site_type","at","time"
"sp_type","abund","across","species","at","site_type","at","time"
"sp_type","distr","at","sp_type","at","site_type","at","time"
"sp_type","abund","at","sp_type","at","site_type","at","time"
"sp_type","div","at","sp_type","at","site_type","at","time"
"sp_type","distr","at","sp_type","across","site_type","at","time"
"sp_type","abund","at","sp_type","across","site_type","at","time"
"sp_type","div","at","sp_type","across","site_type","at","time"
"sp_type","distr","across","species","at","global","at","time"
"sp_type","abund","across","species","at","global","at","time"
"sp_type","distr","at","sp_type","at","global","at","time"
"sp_type","abund","at","sp_type","at","global","at","time"
"sp_type","div","at","sp_type","at","global","at","time"
"sp_type","distr","at","sp_type","at","site","across","time"
"sp_type","abund","at","sp_type","at","site","across","time"
"sp_type","div","at","sp_type","at","site","across","time"
"sp_type","distr","at","sp_type","at","site_type","across","time"
"sp_type","abund","at","sp_type","at","site_type","across","time"
"sp_type","div","at","sp_type","at","site_type","across","time"
"sp_type","distr","at","sp_type","at","global","across","time"
"sp_type","abund","at","sp_type","at","global","across","time"
"sp_type","div","at","sp_type","at","global","across","time"
"site","abund","at","species",NA,NA,"at","time"
"site","abund","across","species",NA,NA,"at","time"
"site","abund","at","sp_type",NA,NA,"at","time"
"site","div","at","sp_type",NA,NA,"at","time"
"site","abund","across","sp_type",NA,NA,"at","time"
"site","div","across","sp_type",NA,NA,"at","time"
"site","abund","at","species",NA,NA,"across","time"
"site","abund","at","sp_type",NA,NA,"across","time"
"site","div","at","sp_type",NA,NA,"across","time"
"site_type","abund","across","species","at","site","at","time"
"site_type","abund","at","species","at","site_type","at","time"
"site_type","abund","at","species","across","site_type","at","time"
"site_type","abund","across","sp_type","at","site","at","time"
"site_type","div","across","sp_type","at","site","at","time"
"site_type","abund","at","sp_type","at","site_type","at","time"
"site_type","div","at","sp_type","at","site_type","at","time"
"site_type","abund","at","sp_type","across","site_type","at","time"
"site_type","div","at","sp_type","across","site_type","at","time"
"site_type","abund","at","species","at","site_type","across","time"
"site_type","abund","at","sp_type","at","site_type","across","time"
"site_type","div","at","sp_type","at","site_type","across","time"
